id,Keyword,Country,Location,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date,Branded,Local,Navigational,Informational,Commercial,Transactional
574,尿蛋白過高怎麼辦,HK,Hong Kong,Featured snippet,150,0,,1,0,-1,0,14,24,-10.0,,https://urbanlifehk.com/article/95145/%E8%9B%8B%E7%99%BD%E5%B0%BF%E6%94%B9%E5%96%84-%E9%A3%B2%E9%A3%9F-%E6%88%92%E5%8F%A3-%E9%81%8B%E5%8B%95,,https://urbanlifehk.com/article/95145/%E8%9B%8B%E7%99%BD%E5%B0%BF%E6%94%B9%E5%96%84-%E9%A3%B2%E9%A3%9F-%E6%88%92%E5%8F%A3-%E9%81%8B%E5%8B%95,2025-01-19 10:32:50,2025-04-24 19:25:00,False,False,False,True,False,False
575,骨癌症狀,HK,Hong Kong,"Featured snippet, People also ask, Thumbnail, Sitelinks",150,0,0.25,0,0,0,0,28,25,3.0,,https://urbanlifehk.com/article/68358/%E9%AA%A8%E7%99%8C%E5%BE%B5%E5%85%86-%E9%AA%A8%E7%99%8C%E6%B2%BB%E7%99%82-%E9%AA%A8%E7%99%8C%E7%97%87%E7%8B%80-%E9%AA%A8%E7%99%8C%E6%88%90%E5%9B%A0-%E9%AA%A8%E7%99%8C%E8%A8%BA%E6%96%B7,,https://urbanlifehk.com/article/72345/%E9%AA%A8%E7%99%8C%E7%97%87%E7%8B%80-%E8%85%B0%E9%85%B8%E8%83%8C%E7%97%9B-%E9%AA%A8%E7%99%8C-%E7%99%B1%E7%98%93-%E7%99%8C%E7%97%87,2025-01-25 12:00:50,2025-05-04 11:08:03,False,False,False,True,False,False
576,腦癌症狀,HK,Hong Kong,"Featured snippet, Thumbnail, People also ask",400,1,0.17,0,0,0,0,80,29,51.0,,https://urbanlifehk.com/article/92801/%E8%85%A6%E7%99%8C%E7%97%87%E7%8B%80-%E8%85%A6%E8%85%AB%E7%98%A4-%E6%98%9F%E7%8B%80%E7%B4%B0%E8%83%9E%E7%98%A4-%E9%87%8D%E5%BD%B1-%E8%84%BE%E6%B0%A3%E6%9A%B4%E8%BA%81,,https://urbanlifehk.com/article/92801/%E8%85%A6%E7%99%8C%E7%97%87%E7%8B%80-%E8%85%A6%E8%85%AB%E7%98%A4-%E6%98%9F%E7%8B%80%E7%B4%B0%E8%83%9E%E7%98%A4-%E9%87%8D%E5%BD%B1-%E8%84%BE%E6%B0%A3%E6%9A%B4%E8%BA%81,2025-01-26 01:57:41,2025-05-05 20:18:30,False,False,False,True,False,False
577,牛皮癬原因,HK,Hong Kong,"Featured snippet, People also ask, Thumbnail",300,0,0.13,0,0,0,0,38,27,11.0,,https://urbanlifehk.com/article/42127/%E7%89%9B%E7%9A%AE%E7%99%AC%E6%88%90%E5%9B%A0-%E4%B8%8D%E6%9C%83%E5%82%B3%E6%9F%93%E5%8B%BF%E8%AA%A4%E8%A7%A3-%E9%8A%80%E5%B1%91%E7%97%85%E7%97%85%E5%9B%A0%EF%BC%8B%E7%97%87%E7%8B%80%EF%BC%8B%E6%88%92%E5%8F%A3%E5%AE%9C%E5%BF%8C%EF%BC%8B%E6%B2%BB%E7%99%82%E8%88%87%E8%AD%B7%E7%90%86%E6%96%B9%E6%B3%95,,https://urbanlifehk.com/article/42127/%E7%89%9B%E7%9A%AE%E7%99%AC%E6%88%90%E5%9B%A0-%E4%B8%8D%E6%9C%83%E5%82%B3%E6%9F%93%E5%8B%BF%E8%AA%A4%E8%A7%A3-%E9%8A%80%E5%B1%91%E7%97%85%E7%97%85%E5%9B%A0%EF%BC%8B%E7%97%87%E7%8B%80%EF%BC%8B%E6%88%92%E5%8F%A3%E5%AE%9C%E5%BF%8C%EF%BC%8B%E6%B2%BB%E7%99%82%E8%88%87%E8%AD%B7%E7%90%86%E6%96%B9%E6%B3%95,2025-02-03 14:37:55,2025-04-13 01:34:38,False,False,False,True,False,False
578,春夏湯水,HK,Hong Kong,Thumbnail,350,0,,1,0,-1,0,23,30,-7.0,,https://urbanlifehk.com/article/67307/%E6%B6%88%E6%9A%91%E6%B9%AF%E6%B0%B4%E9%A3%9F%E8%AD%9C-%E5%A4%8F%E5%A4%A9%E6%B9%AF%E6%B0%B4%E9%A3%9F%E8%AD%9C-%E6%B6%88%E6%9A%91%E6%B9%AF%E6%B0%B4%E5%86%AC%E7%93%9C-%E6%B6%88%E6%9A%91%E6%B9%AF%E6%B0%B4%E8%80%81%E9%BB%83%E7%93%9C-%E4%B8%AD%E9%86%AB%E6%B6%88%E6%9A%91%E6%B9%AF%E6%B0%B4-%E5%8E%BB%E6%BF%95%E6%B9%AF%E6%B0%B4-%E6%B8%85%E7%86%B1%E6%B9%AF%E6%B0%B4,,https://urbanlifehk.com/article/85444/%E6%BB%8B%E6%BD%A4%E6%B9%AF%E6%B0%B4%E9%A3%9F%E8%AD%9C-%E6%9D%90%E6%96%99-%E6%98%A5%E5%A4%A9-%E9%9D%92%E7%B4%85%E8%98%BF%E8%94%94%E8%B1%AC%E9%AA%A8%E6%B9%AF-%E8%93%AE%E8%97%95%E7%AB%A0%E9%AD%9A%E7%B2%9F%E7%B1%B3%E6%B9%AF-%E9%9B%AA%E8%80%B3,2025-02-05 03:32:30,2025-04-18 11:03:45,False,False,False,True,False,False
579,妊娠毒血症後遺症,HK,Hong Kong,"Featured snippet, Thumbnail, Sitelinks, People also ask",100,0,,1,0,-1,0,15,24,-9.0,,https://urbanlifehk.com/article/79350/%E5%A6%8A%E5%A8%A0%E6%AF%92%E8%A1%80%E7%97%87-%E5%AD%95%E5%A9%A6-%E5%A6%8A%E5%A8%A0%E6%AF%92%E8%A1%80%E7%97%87%E9%AB%98%E9%A2%A8%E9%9A%AA-%E5%A6%8A%E5%A8%A0%E6%AF%92%E8%A1%80%E7%97%87%E7%97%87%E7%8B%80-%E6%97%A9%E7%94%A2-%E6%96%B0%E5%8A%A0%E5%9D%A1-nadya-dean,,https://urbanlifehk.com/article/63581/%E5%A6%8A%E5%A8%A0%E6%AF%92%E8%A1%80%E7%97%87%E5%BE%8C%E9%81%BA%E7%97%87-%E5%A6%8A%E5%A8%A0%E6%AF%92%E8%A1%80%E7%97%87%E7%97%87%E7%8B%80-%E8%91%89%E5%87%B1%E8%8C%B5-%E6%87%B7%E5%AD%95-%E6%B5%81%E7%94%A2,2025-01-29 14:33:40,2025-05-03 13:42:59,False,False,False,True,False,False
580,紅斑性狼瘡原因,HK,Hong Kong,"Featured snippet, People also ask, Sitelinks",250,4,,0,0,0,0,63,27,36.0,,https://urbanlifehk.com/article/53728/%E5%85%8D%E7%96%AB%E5%A4%B1%E8%AA%BF-%E7%B4%85%E6%96%91%E7%8B%BC%E7%98%A1%E7%97%87%E8%87%89%E6%9C%89%E7%B4%85%E6%96%91%E5%B9%B4%E9%9D%92%E5%A5%B3%E6%80%A7%E6%98%93%E4%B8%AD%E6%8B%9B%E3%80%80%E4%B8%80%E5%8D%8A%E6%82%A3%E8%80%85%E4%BA%94%E5%B9%B4%E5%85%A7%E5%87%BA%E7%8F%BE%E5%99%A8%E5%AE%98%E6%90%8D%E5%82%B7,,https://urbanlifehk.com/article/125988/%E7%B4%85%E6%96%91%E7%8B%BC%E7%98%A1-%E7%97%87%E7%8B%80-%E7%97%85%E5%9B%A0-%E6%82%A3%E8%80%85%E6%8C%87%E5%8D%97-%E8%87%AA%E8%BA%AB%E5%85%8D%E7%96%AB%E6%80%A7%E7%96%BE%E7%97%85,2025-01-21 15:49:04,2025-05-01 03:44:33,False,False,False,True,False,False
581,老人院價錢,HK,Hong Kong,"Featured snippet, People also ask, Sitelinks",200,0,,1,0,-1,0,19,26,-7.0,,https://urbanlifehk.com/article/121070/%E6%B6%88%E5%A7%94%E6%9C%83%E5%AE%89%E8%80%81%E9%99%A2-%E8%80%81%E4%BA%BA%E9%99%A2-%E6%94%B6%E8%B2%BB-%E6%9C%88%E8%B2%BB-%E4%BA%BA%E6%89%8B%E6%AF%94%E4%BE%8B-%E6%94%B6%E8%B2%BB,,https://urbanlifehk.com/article/121070/%E6%B6%88%E5%A7%94%E6%9C%83%E5%AE%89%E8%80%81%E9%99%A2-%E8%80%81%E4%BA%BA%E9%99%A2-%E6%94%B6%E8%B2%BB-%E6%9C%88%E8%B2%BB-%E4%BA%BA%E6%89%8B%E6%AF%94%E4%BE%8B-%E6%94%B6%E8%B2%BB,2025-02-07 20:21:58,2025-04-19 06:05:58,False,False,False,True,True,False
582,戒煙過程,HK,Hong Kong,"People also ask, Thumbnail",250,0,,0,0,0,0,22,27,-5.0,,https://urbanlifehk.com/article/81412/%E6%88%92%E7%85%99%E9%81%8E%E7%A8%8B-%E6%96%B9%E6%B3%95-%E5%88%86%E4%BA%AB,,https://urbanlifehk.com/article/81412/%E6%88%92%E7%85%99%E9%81%8E%E7%A8%8B-%E6%96%B9%E6%B3%95-%E5%88%86%E4%BA%AB,2025-01-21 20:57:17,2025-04-30 05:14:01,False,False,False,True,False,False
583,突然腳腫,HK,Hong Kong,"Sitelinks, Thumbnail, People also ask",250,0,,0,0,0,0,36,27,9.0,,https://urbanlifehk.com/article/112838/%E7%B3%96%E5%B0%BF%E8%85%B3-%E7%B3%96%E5%B0%BF%E7%97%85%E8%B6%B3%E7%97%87%E7%8B%80%E8%85%B3%E8%85%AB%E8%B5%B7%E4%BE%86-%E8%85%B3%E7%97%9B-%E9%BB%91-%E6%80%8E%E9%BA%BC%E8%BE%A6-%E5%88%9D%E6%9C%9F,,https://urbanlifehk.com/article/112838/%E7%B3%96%E5%B0%BF%E8%85%B3-%E7%B3%96%E5%B0%BF%E7%97%85%E8%B6%B3%E7%97%87%E7%8B%80%E8%85%B3%E8%85%AB%E8%B5%B7%E4%BE%86-%E8%85%B3%E7%97%9B-%E9%BB%91-%E6%80%8E%E9%BA%BC%E8%BE%A6-%E5%88%9D%E6%9C%9F,2025-02-07 17:43:09,2025-04-20 18:26:25,False,False,False,True,False,False
584,皮膚癬藥膏,HK,Hong Kong,"People also ask, Sitelinks, Thumbnail",150,0,0.26,1,0,-1,0,17,24,-7.0,,https://urbanlifehk.com/article/76050/%E9%87%91%E9%8C%A2%E7%99%AC%E6%9C%83%E5%82%B3%E6%9F%93%E5%97%8E-%E9%87%91%E9%8C%A2%E7%99%AC%E4%BA%BA%E5%82%B3%E4%BA%BA-%E9%87%91%E9%8C%A2%E7%99%AC%E8%97%A5%E8%86%8F-%E9%87%91%E9%8C%A2%E7%99%AC%E5%88%9D%E6%9C%9F-%E9%87%91%E9%8C%A2%E7%99%AC%E5%88%9D%E6%9C%9F,,https://urbanlifehk.com/article/76050/%E9%87%91%E9%8C%A2%E7%99%AC%E6%9C%83%E5%82%B3%E6%9F%93%E5%97%8E-%E9%87%91%E9%8C%A2%E7%99%AC%E4%BA%BA%E5%82%B3%E4%BA%BA-%E9%87%91%E9%8C%A2%E7%99%AC%E8%97%A5%E8%86%8F-%E9%87%91%E9%8C%A2%E7%99%AC%E5%88%9D%E6%9C%9F-%E9%87%91%E9%8C%A2%E7%99%AC%E5%88%9D%E6%9C%9F,2025-01-31 08:44:23,2025-04-11 13:53:26,False,False,False,True,False,False
585,blackmore 魚油,HK,Hong Kong,,500,0,,0,0,0,0,51,30,21.0,,https://urbanlifehk.com/article/103102/%E9%AD%9A%E6%B2%B9%E4%B8%B8%E6%B6%88%E5%A7%94%E6%9C%83%E5%A0%B1%E5%91%8A2022-%E6%AF%94%E8%BC%83-%E6%B8%AC%E8%A9%A6-%E6%8E%A8%E8%96%A6-%E9%82%8A%E9%9A%BB%E5%A5%BD-%E6%A5%93%E4%B9%8B%E5%AF%B6-gnc-%E9%86%AB%E4%B9%8B%E9%81%B8-%E5%8F%B8%E5%90%84%E8%84%AB-%E8%90%AC%E5%AF%A7,,https://urbanlifehk.com/article/103102/%E9%AD%9A%E6%B2%B9%E4%B8%B8%E6%B6%88%E5%A7%94%E6%9C%83%E5%A0%B1%E5%91%8A2022-%E6%AF%94%E8%BC%83-%E6%B8%AC%E8%A9%A6-%E6%8E%A8%E8%96%A6-%E9%82%8A%E9%9A%BB%E5%A5%BD-%E6%A5%93%E4%B9%8B%E5%AF%B6-gnc-%E9%86%AB%E4%B9%8B%E9%81%B8-%E5%8F%B8%E5%90%84%E8%84%AB-%E8%90%AC%E5%AF%A7,2025-01-29 06:42:19,2025-05-06 04:48:46,True,False,False,False,True,True
586,糖尿腳初期,HK,Hong Kong,"Featured snippet, People also ask, Sitelinks, Thumbnail",350,0,,0,0,0,0,31,27,4.0,,https://urbanlifehk.com/article/112838/%E7%B3%96%E5%B0%BF%E8%85%B3-%E7%B3%96%E5%B0%BF%E7%97%85%E8%B6%B3%E7%97%87%E7%8B%80%E8%85%B3%E8%85%AB%E8%B5%B7%E4%BE%86-%E8%85%B3%E7%97%9B-%E9%BB%91-%E6%80%8E%E9%BA%BC%E8%BE%A6-%E5%88%9D%E6%9C%9F,,https://urbanlifehk.com/article/112838/%E7%B3%96%E5%B0%BF%E8%85%B3-%E7%B3%96%E5%B0%BF%E7%97%85%E8%B6%B3%E7%97%87%E7%8B%80%E8%85%B3%E8%85%AB%E8%B5%B7%E4%BE%86-%E8%85%B3%E7%97%9B-%E9%BB%91-%E6%80%8E%E9%BA%BC%E8%BE%A6-%E5%88%9D%E6%9C%9F,2025-02-08 09:31:59,2025-04-23 17:21:00,False,False,False,True,False,False
587,牛角包 卡路里,HK,Hong Kong,"Knowledge card, People also ask, Knowledge panel",250,0,,0,0,0,0,27,27,,,https://urbanlifehk.com/article/54849/%E9%BA%B5%E5%8C%85%E5%8D%A1%E8%B7%AF%E9%87%8C%E6%8E%92%E8%A1%8C%E6%A6%9C-%E5%93%AA%E6%AC%BE%E6%9C%80%E9%AB%98%E9%88%89-%E9%AB%98%E8%84%82-%E7%89%9B%E8%A7%92%E9%85%A5-%E8%85%B8%E4%BB%94%E5%8C%85-%E7%94%9C%E9%A4%90%E5%8C%85%E7%AD%8910%E6%AC%BE%E9%BA%B5%E5%8C%85%E5%A4%A7%E6%AF%94%E4%BD%B5,,https://urbanlifehk.com/article/54849/%E9%BA%B5%E5%8C%85%E5%8D%A1%E8%B7%AF%E9%87%8C%E6%8E%92%E8%A1%8C%E6%A6%9C-%E5%93%AA%E6%AC%BE%E6%9C%80%E9%AB%98%E9%88%89-%E9%AB%98%E8%84%82-%E7%89%9B%E8%A7%92%E9%85%A5-%E8%85%B8%E4%BB%94%E5%8C%85-%E7%94%9C%E9%A4%90%E5%8C%85%E7%AD%8910%E6%AC%BE%E9%BA%B5%E5%8C%85%E5%A4%A7%E6%AF%94%E4%BD%B5,2025-02-06 01:43:50,2025-04-17 04:03:47,False,False,False,True,False,False
588,胃酸倒流 解決,HK,Hong Kong,"Featured snippet, Sitelinks, Thumbnail",150,4,0.13,0,0,0,0,26,25,1.0,,https://urbanlifehk.com/article/67122/%E8%83%83%E9%85%B8%E5%80%92%E6%B5%81%E6%88%90%E5%9B%A0-%E8%83%83%E9%85%B8%E5%80%92%E6%B5%81%E7%97%87%E7%8B%80-%E8%83%83%E9%85%B8%E5%80%92%E6%B5%81%E8%97%A5,,https://urbanlifehk.com/article/67122/%E8%83%83%E9%85%B8%E5%80%92%E6%B5%81%E6%88%90%E5%9B%A0-%E8%83%83%E9%85%B8%E5%80%92%E6%B5%81%E7%97%87%E7%8B%80-%E8%83%83%E9%85%B8%E5%80%92%E6%B5%81%E8%97%A5,2025-02-02 01:20:03,2025-04-12 23:42:48,False,False,False,True,False,False
589,smile 價錢,HK,Hong Kong,"Sitelinks, Thumbnail, People also ask, Bottom ads, Paid sitelinks",150,0,1.09,0,0,0,0,22,26,-4.0,,https://urbanlifehk.com/article/116510/%E6%BF%80%E5%85%89%E7%9F%AF%E8%A6%962023-%E5%83%B9%E9%8C%A2-%E6%95%A3%E5%85%89-%E5%B9%B4%E9%BD%A1-%E5%BE%8C%E9%81%BA%E7%97%87-%E5%BA%A6%E6%95%B8-lasik-smile-%E9%A4%8A%E5%92%8C-%E5%B8%8C%E7%91%AA,,https://urbanlifehk.com/article/116510/%E6%BF%80%E5%85%89%E7%9F%AF%E8%A6%962023-%E5%83%B9%E9%8C%A2-%E6%95%A3%E5%85%89-%E5%B9%B4%E9%BD%A1-%E5%BE%8C%E9%81%BA%E7%97%87-%E5%BA%A6%E6%95%B8-lasik-smile-%E9%A4%8A%E5%92%8C-%E5%B8%8C%E7%91%AA,2025-01-31 00:05:29,2025-04-11 05:10:46,False,False,False,True,True,False
590,偏頭痛位置,HK,Hong Kong,"Sitelinks, Thumbnail",100,0,,0,0,0,0,20,23,-3.0,,https://urbanlifehk.com/article/70232/%E5%81%8F%E9%A0%AD%E7%97%9B%E4%BD%8D%E7%BD%AE-%E5%81%8F%E9%A0%AD%E7%97%9B%E5%8F%B3%E9%82%8A-%E5%81%8F%E9%A0%AD%E7%97%9B%E5%B7%A6%E9%82%8A,,https://urbanlifehk.com/article/70232/%E5%81%8F%E9%A0%AD%E7%97%9B%E4%BD%8D%E7%BD%AE-%E5%81%8F%E9%A0%AD%E7%97%9B%E5%8F%B3%E9%82%8A-%E5%81%8F%E9%A0%AD%E7%97%9B%E5%B7%A6%E9%82%8A,2025-01-23 12:58:01,2025-05-01 22:14:37,False,False,False,True,False,False
591,腰果的功效,HK,Hong Kong,"Featured snippet, People also ask",400,1,,0,0,0,0,32,29,3.0,,https://urbanlifehk.com/article/54679/%E8%85%B0%E6%9E%9C%E5%A5%BD%E8%99%95-%E5%A0%85%E6%9E%9C%E7%95%8C-4%E5%A4%A7%E5%A4%A9%E7%8E%8B-%E4%B9%8B%E4%B8%80-%E6%9C%89%E5%8A%A9%E8%AD%B7%E5%BF%83-%E6%B8%9B%E8%82%A5-%E8%85%B0%E6%9E%9C4%E5%A4%A7%E5%81%A5%E5%BA%B7%E5%A5%BD%E8%99%95%EF%BC%8B3%E6%AC%BE%E8%85%B0%E6%9E%9C%E9%A3%9F%E8%AD%9C%E6%8E%A8%E4%BB%8B,,https://urbanlifehk.com/article/54679/%E8%85%B0%E6%9E%9C%E5%A5%BD%E8%99%95-%E5%A0%85%E6%9E%9C%E7%95%8C-4%E5%A4%A7%E5%A4%A9%E7%8E%8B-%E4%B9%8B%E4%B8%80-%E6%9C%89%E5%8A%A9%E8%AD%B7%E5%BF%83-%E6%B8%9B%E8%82%A5-%E8%85%B0%E6%9E%9C4%E5%A4%A7%E5%81%A5%E5%BA%B7%E5%A5%BD%E8%99%95%EF%BC%8B3%E6%AC%BE%E8%85%B0%E6%9E%9C%E9%A3%9F%E8%AD%9C%E6%8E%A8%E4%BB%8B,2025-02-04 20:14:03,2025-04-14 19:56:59,False,False,False,True,False,False
592,蕃薯 營養,HK,Hong Kong,"People also ask, Sitelinks",100,0,0.01,0,0,0,0,21,25,-4.0,,https://urbanlifehk.com/article/31669/%E7%95%AA%E8%96%AF%E5%8D%A1%E8%B7%AF%E9%87%8C-%E7%95%AA%E8%96%AF%E5%A5%BD%E8%99%95-%E7%95%AA%E8%96%AF%E7%A8%AE%E9%A1%9E-%E7%95%AA%E8%96%AF%E9%A3%9F%E8%AD%9C,,https://urbanlifehk.com/article/31669/%E7%95%AA%E8%96%AF%E5%8D%A1%E8%B7%AF%E9%87%8C-%E7%95%AA%E8%96%AF%E5%A5%BD%E8%99%95-%E7%95%AA%E8%96%AF%E7%A8%AE%E9%A1%9E-%E7%95%AA%E8%96%AF%E9%A3%9F%E8%AD%9C,2025-01-21 11:59:55,2025-04-25 22:22:48,False,False,False,True,False,False
593,銀屑病頭皮,HK,Hong Kong,"Featured snippet, Sitelinks, Thumbnail",150,0,0.18,0,0,0,0,20,25,-5.0,,https://urbanlifehk.com/article/53077/%E9%8A%80%E5%B1%91%E7%97%85%E6%B2%BB%E7%99%82-%E5%A5%B3%E5%A3%AB%E7%89%9B%E7%9A%AE%E7%99%AC%E7%BA%8F%E8%BA%AB%E6%95%B4%E5%80%8B%E9%A0%AD%E7%9A%AE%E5%85%A8%E6%98%AF%E7%81%B0%E7%99%BD%E9%B1%97%E5%B1%91%E3%80%80%E9%86%AB%E7%94%9F-%E7%97%85%E5%9B%A0%E6%9C%AA%E6%98%8E%E6%82%A3%E8%80%85%E5%BF%83%E7%90%86%E6%89%BF%E5%8F%97%E9%BE%90%E5%A4%A7%E5%A3%93%E5%8A%9B,,https://urbanlifehk.com/article/53077/%E9%8A%80%E5%B1%91%E7%97%85%E6%B2%BB%E7%99%82-%E5%A5%B3%E5%A3%AB%E7%89%9B%E7%9A%AE%E7%99%AC%E7%BA%8F%E8%BA%AB%E6%95%B4%E5%80%8B%E9%A0%AD%E7%9A%AE%E5%85%A8%E6%98%AF%E7%81%B0%E7%99%BD%E9%B1%97%E5%B1%91%E3%80%80%E9%86%AB%E7%94%9F-%E7%97%85%E5%9B%A0%E6%9C%AA%E6%98%8E%E6%82%A3%E8%80%85%E5%BF%83%E7%90%86%E6%89%BF%E5%8F%97%E9%BE%90%E5%A4%A7%E5%A3%93%E5%8A%9B,2025-02-05 12:58:49,2025-04-17 08:42:19,False,False,False,True,False,False
594,盲腸炎成因,HK,Hong Kong,"Featured snippet, People also ask, Thumbnail, Sitelinks",100,0,0.03,0,0,0,0,22,24,-2.0,,https://urbanlifehk.com/article/74259/%E7%9B%B2%E8%85%B8%E7%82%8E%E6%88%90%E5%9B%A0-%E7%9B%B2%E8%85%B8%E7%82%8E%E8%87%AA%E7%84%B6%E6%B2%BB%E7%99%92-%E7%9B%B2%E8%85%B8%E7%82%8E%E6%9C%83%E8%87%AA%E5%B7%B1%E5%A5%BD%E5%97%8E,,https://urbanlifehk.com/article/74259/%E7%9B%B2%E8%85%B8%E7%82%8E%E6%88%90%E5%9B%A0-%E7%9B%B2%E8%85%B8%E7%82%8E%E8%87%AA%E7%84%B6%E6%B2%BB%E7%99%92-%E7%9B%B2%E8%85%B8%E7%82%8E%E6%9C%83%E8%87%AA%E5%B7%B1%E5%A5%BD%E5%97%8E,2025-02-06 04:47:28,2025-04-17 08:03:29,False,False,False,True,False,False
595,腳踭痛,HK,Hong Kong,"Featured snippet, Thumbnail, People also ask",4300,0,0.11,0,0,0,0,37,28,9.0,,https://urbanlifehk.com/article/111532/%E8%B6%B3%E8%B8%9D%E5%8F%8A%E8%85%B3%E8%B8%AD%E7%97%9B%E5%8E%9F%E5%9B%A0%E5%8F%8A%E8%99%95%E7%90%86%E6%96%B9%E6%B3%95,,https://urbanlifehk.com/article/111532/%E8%B6%B3%E8%B8%9D%E5%8F%8A%E8%85%B3%E8%B8%AD%E7%97%9B%E5%8E%9F%E5%9B%A0%E5%8F%8A%E8%99%95%E7%90%86%E6%96%B9%E6%B3%95,2025-02-07 03:21:05,2025-05-08 03:58:29,False,False,False,True,False,False
596,中暑 熱衰竭,HK,Hong Kong,"Featured snippet, Thumbnail, Knowledge panel",150,0,,1,0,0,0,18,24,-6.0,,https://urbanlifehk.com/article/122317/%E4%B8%AD%E6%9A%91-%E7%97%87%E7%8B%80-%E7%86%B1%E8%A1%B0%E7%AB%AD-%E9%A0%AD%E6%9A%88-%E8%84%AB%E6%B0%B4-%E5%98%94%E5%BF%83-%E5%87%BA%E6%B1%97,,https://urbanlifehk.com/article/122317/%E4%B8%AD%E6%9A%91-%E7%97%87%E7%8B%80-%E7%86%B1%E8%A1%B0%E7%AB%AD-%E9%A0%AD%E6%9A%88-%E8%84%AB%E6%B0%B4-%E5%98%94%E5%BF%83-%E5%87%BA%E6%B1%97,2025-01-29 15:07:05,2025-04-10 06:11:36,False,False,False,True,False,False
597,白內障手術後遺症,HK,Hong Kong,"Featured snippet, People also ask",400,1,,0,0,0,0,44,30,14.0,,https://urbanlifehk.com/article/72002/%E7%99%BD%E5%85%A7%E9%9A%9C-%E6%89%8B%E8%A1%93-%E6%99%82%E9%96%93-%E5%A4%B1%E6%95%97-%E9%A2%A8%E9%9A%AA-%E5%BE%8C%E9%81%BA%E7%97%87-%E8%A1%93%E5%BE%8C-%E6%81%A2%E5%BE%A9-%E4%BD%8F%E9%99%A2,,https://urbanlifehk.com/article/72002/%E7%99%BD%E5%85%A7%E9%9A%9C-%E6%89%8B%E8%A1%93-%E6%99%82%E9%96%93-%E5%A4%B1%E6%95%97-%E9%A2%A8%E9%9A%AA-%E5%BE%8C%E9%81%BA%E7%97%87-%E8%A1%93%E5%BE%8C-%E6%81%A2%E5%BE%A9-%E4%BD%8F%E9%99%A2,2025-01-28 11:44:33,2025-04-09 02:18:44,False,False,False,True,False,False
598,腳趾痕癢,HK,Hong Kong,Thumbnail,100,0,,0,0,0,0,20,23,-3.0,,https://urbanlifehk.com/article/72932/%E9%A6%99%E6%B8%AF%E8%85%B3%E7%97%87%E7%8B%80-%E5%A4%8F%E5%A4%A9-%E8%85%B3%E7%97%95-%E6%B1%97%E7%9A%B0%E7%96%B9-%E8%B6%B3%E9%83%A8%E6%84%9F%E6%9F%93,,https://urbanlifehk.com/article/20924/%E9%A6%99%E6%B8%AF%E8%85%B3-%E9%A6%99%E6%B8%AF%E8%85%B3%E8%85%B3%E8%87%AD%E7%97%95%E7%99%A2%E6%9C%83%E5%82%B3%E6%9F%93-%E8%B7%9F%E8%B6%B3%E6%8C%87%E7%A4%BA%E4%B8%80%E5%91%A8%E7%97%8A%E7%99%92,2025-02-03 04:14:50,2025-04-14 13:04:39,False,False,False,True,False,False
599,小朋友滾湯,HK,Hong Kong,"Thumbnail, Sitelinks",100,0,,0,0,0,0,35,23,12.0,,https://urbanlifehk.com/article/124892/%E5%85%92%E7%AB%A5%E7%A7%8B%E5%A4%A9%E6%B9%AF%E6%B0%B4-%E7%A7%8B%E5%AD%A3-%E5%85%8D%E7%96%AB%E5%8A%9B%E4%B8%8B%E9%99%8D-%E5%92%B3%E5%97%BD-%E9%A3%9F%E8%AD%9C,,https://urbanlifehk.com/article/78989/%E6%BB%BE%E6%B9%AF%E9%A3%9F%E8%AD%9C-%E6%BB%BE%E6%B9%AF%E8%B1%AC%E8%82%89-%E6%BB%BE%E6%B9%AF%E7%98%A6%E8%82%89-%E6%BB%BE%E6%B9%AF%E7%85%B2%E6%B9%AF-%E6%BB%BE%E6%B9%AF%E6%8E%A8%E4%BB%8B-%E8%95%83%E8%8C%84%E8%96%AF%E4%BB%94%E6%BB%BE%E6%B9%AF,2025-01-28 06:50:56,2025-05-06 16:20:28,False,False,False,True,False,False
600,急救箱必備物品,HK,Hong Kong,Sitelinks,150,0,,0,0,0,0,26,24,2.0,,https://urbanlifehk.com/article/69223/%E6%80%A5%E6%95%91%E7%AE%B1%E7%94%A8%E5%93%81-%E6%80%A5%E6%95%91%E7%AE%B1%E8%A6%8F%E6%A0%BC-%E6%80%A5%E6%95%91%E7%AE%B1%E5%85%A7%E5%AE%B9-%E6%80%A5%E6%95%91%E7%AE%B1%E8%B3%BC%E8%B2%B7-%E6%80%A5%E6%95%91%E7%AE%B1%E7%89%A9%E5%93%81,,https://urbanlifehk.com/article/69223/%E6%80%A5%E6%95%91%E7%AE%B1%E7%94%A8%E5%93%81-%E6%80%A5%E6%95%91%E7%AE%B1%E8%A6%8F%E6%A0%BC-%E6%80%A5%E6%95%91%E7%AE%B1%E5%85%A7%E5%AE%B9-%E6%80%A5%E6%95%91%E7%AE%B1%E8%B3%BC%E8%B2%B7-%E6%80%A5%E6%95%91%E7%AE%B1%E7%89%A9%E5%93%81,2025-01-22 11:36:22,2025-05-02 09:44:30,False,False,False,True,False,False
